id	difficulty	category	question	answer1	answer2	answer3	answer4	correct	explanation	reference
curated-001	fácil	Antigo Testamento	Quem construiu a arca?	Moisés	Noé	Davi	Paulo	1	Noé obedeceu à ordem de construir a arca.	Gênesis 6
curated-002	fácil	Antigo Testamento	Qual mar se abriu para Israel sair do Egito?	Mar Morto	Mar da Galileia	Mar Vermelho	Mediterrâneo	2	Israel atravessou o mar em terra seca.	Êxodo 14
curated-003	médio	Antigo Testamento	Qual profeta confrontou os profetas de Baal no Carmelo?	Isaías	Elias	Eliseu	Jeremias	1	Elias convocou o confronto no monte Carmelo.	1 Reis 18
curated-004	médio	Antigo Testamento	Quem sucedeu Moisés na liderança de Israel?	Calebe	Arão	Josué	Samuel	2	Josué conduziu o povo na entrada em Canaã.	Josué 1
curated-005	difícil	Antigo Testamento	Qual rei encontrou o Livro da Lei durante reformas no templo?	Ezequias	Acaz	Josias	Jeroboão	2	O livro foi encontrado durante o reinado de Josias.	2 Reis 22
curated-006	difícil	Antigo Testamento	Qual profeta teve a visão de um vale de ossos secos?	Daniel	Ezequiel	Amós	Oséias	1	Ezequiel viu os ossos receberem vida na visão.	Ezequiel 37
curated-007	fácil	Novo Testamento	Quem batizou Jesus?	Pedro	João Batista	Tiago	André	1	João batizou Jesus no Jordão.	Mateus 3
curated-008	fácil	Novo Testamento	Qual apóstolo negou Jesus três vezes?	João	Tomé	Pedro	Filipe	2	Pedro negou conhecer Jesus e depois se arrependeu.	Lucas 22:54-62
curated-009	médio	Novo Testamento	Quem foi escolhido para ocupar o lugar de Judas?	Barnabé	Matias	Silas	Marcos	1	Matias foi contado com os onze apóstolos.	Atos 1:26
curated-010	médio	Novo Testamento	Em qual ilha João recebeu a visão do Apocalipse?	Creta	Chipre	Malta	Patmos	3	João estava na ilha de Patmos.	Apocalipse 1:9
curated-011	difícil	Novo Testamento	A quem foi dirigida a carta pessoal sobre Onésimo?	Tito	Timóteo	Filemom	Silas	2	Paulo escreveu a Filemom a respeito de Onésimo.	Filemom 1
curated-012	difícil	Novo Testamento	Quem caiu da janela enquanto Paulo falava?	Êutico	Trófimo	Aristarco	Ágabo	0	Êutico caiu do terceiro andar e foi socorrido por Paulo.	Atos 20:7-12
curated-013	fácil	Jesus	Em qual cidade Jesus nasceu?	Nazaré	Jerusalém	Belém	Roma	2	Os relatos do nascimento situam Jesus em Belém.	Mateus 2:1
curated-014	fácil	Jesus	Quantos apóstolos Jesus escolheu?	Sete	Dez	Doze	Quarenta	2	Jesus chamou doze para estarem com ele.	Marcos 3:13-19
curated-015	médio	Jesus	Qual foi o primeiro sinal de Jesus narrado por João?	Multiplicação dos pães	Água transformada em vinho	Cura de um cego	Ressurreição de Lázaro	1	O sinal ocorreu numa festa de casamento em Caná.	João 2:1-11
curated-016	médio	Jesus	Quem Jesus chamou para sair do túmulo?	Jairo	Bartimeu	Lázaro	Zaqueu	2	Jesus chamou Lázaro depois de quatro dias.	João 11:43
